LAM,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,SHSU,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Oregon,Points Troy
Wright St.,,,,,,,,,,,Wright St.,,,,,,,,,,0,,Wright St. - 26.906,NO,Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,,,,,,,,,,,Wyoming,WYO,,,,,,,,,0,,Wyoming - 15.132,NO,Mountain West,"Laramie, WY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier,,,,,,,,,,,Xavier,XAV,,,,,,,,,0,,Xavier - 39.976,NO,Big East,"Cincinnati, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale,,,,,,,,,,,Yale,YALE,,,,,,,,,0,,Yale - 55.851,YES,Ivy,"New Haven, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youngstown St.,,,,,,,,,,,Youngstown St.,YSU,,,,,,,,,0,,Youngstown St. - 20.967,NO,Horizon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Game Location,HOME TEAM,,,Month,,Day,,Year,,Favorite Team,,Line,,,Over/Under,,,Clutch,,Overtime,,Attendance,,Oregon SOS THOUGHT,Troy SOS THOUGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oregon,0,,
"Beaumont, TX",NEUTRAL,,,Nov,,17,,2024,,SHSU,,-6.5,,,148.5,,,FALSE,,FALSE,,"1,848",TRUE,65,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Troy,0,,
Team - Record,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Team - Record,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Kalifa Sakho,SHSU,Troy,NEUTRAL,Oregon,Big Ten,1,0,0,Starter,TRUE,1,23,9,12,0,0,4,5,1,5,6,1,0,3,22,0,73.223,0,18.005,1,0,0,0,0,0,0,1,0,0,0,0,1,1,13,6.5,0,0,"1,848",,0,0
Oregon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Troy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Marcus Boykin,SHSU,Troy,NEUTRAL,Oregon,Big Ten,1,0,0,Starter,TRUE,1,34,3,7,1,3,2,3,0,5,11,0,1,1,9,0,73.223,0,18.005,1,0,0,0,0,0,0,1,0,0,1,0,1,0,13,6.5,0,0,"1,848",,0,0
1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Josiah Hammons,SHSU,Troy,NEUTRAL,Oregon,Big Ten,1,0,0,Starter,TRUE,1,20,2,5,2,5,0,0,0,2,0,1,1,0,6,0,73.223,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,6.5,0,0,"1,848",,0,0
2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dorian Finister,SHSU,Troy,NEUTRAL,Oregon,Big Ten,1,0,0,Starter,TRUE,1,35,2,7,1,3,2,4,5,2,4,0,1,2,7,0,73.223,0,18.005,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,6.5,0,0,"1,848",,0,0
Madness,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Madness,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lamar Wilkerson,SHSU,Troy,NEUTRAL,Oregon,Big Ten,1,0,0,Starter,TRUE,1,34,9,16,6,10,4,4,1,1,2,2,1,0,28,0,73.223,0,18.005,1,0,0,0,0,1,1,0,0,1,0,0,1,1,13,6.5,0,0,"1,848",,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Andrew Holifield,LAM,Oregon,NEUTRAL,Troy,Sun Belt,0,1,0,Starter,FALSE,1,28,5,7,2,3,3,4,4,2,1,0,1,0,15,0,18.005,0,73.223,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,6.5,0,0,"1,848",,0,0
Conference,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Conference,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Adam Hamilton,LAM,Oregon,NEUTRAL,Troy,Sun Belt,0,1,0,Starter,TRUE,1,25,4,11,0,0,5,6,3,1,2,1,1,0,13,0,18.005,0,73.223,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,6.5,0,0,"1,848",,0,0
Big Ten,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Sun Belt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Danquez Dawsey,LAM,Oregon,NEUTRAL,Troy,Sun Belt,0,1,0,Starter,FALSE,1,32,2,11,2,6,2,2,1,1,4,1,0,2,8,0,18.005,0,73.223,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-13,6.5,0,0,"1,848",,0,0
Power,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Power,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Alexis Marmolejos,LAM,Oregon,NEUTRAL,Troy,Sun Belt,0,1,0,Starter,TRUE,1,29,2,9,0,5,0,0,1,5,2,0,0,1,4,0,18.005,0,73.223,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-13,6.5,0,0,"1,848",,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Cody Pennebaker,LAM,Oregon,NEUTRAL,Troy,Sun Belt,0,1,0,Starter,TRUE,1,23,4,10,1,3,0,0,3,3,5,2,1,0,9,0,18.005,0,73.223,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-13,6.5,0,0,"1,848",,0,0
Top 25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Top 25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
Points Scored,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Points Scored,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
Shooting:,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Shooting:,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
64,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
Rebounding,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rebounding,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
AST/TURN/STL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,AST/TURN/STL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
MISC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,MISC,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,NEUTRAL,Troy,Sun Belt,0,1,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.005,0,18.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,6.5,0,0,"1,848",,0,0
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Clutch SM for Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largest Lead,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Largest Lead,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,73.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,18.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,LEFT ACTIVE VALUE,LEFT HISTORICAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Line,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Oregon - 73.223,,,FOULS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,RIGHT ACTIVE VALUE,RIGHT HISTORICAL,,,Troy,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,Troy - 18.005,,,Oregon,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
